seqnum,0_id,20_id,40_id,60_id,80_id
4100,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
4200,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
4300,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
4400,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
4500,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
4600,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
4700,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
4800,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
4900,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
5000,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
